Expenditure Date,Payee Name,Address,Payee Type,Amount($),Committee Name,Expense Category,Expense Purpose,Expense Toward,Expense Method,Vendor,Fundtype,Comments
9/24/2021,Sirlei Lalley,22 Casey Lane  Rockville  Maryland 20850,Individual,29,Blair  David for Montgomery,Other Expenses,Volunteer Meals,,Check,,Electoral,Reimbursement - water
9/27/2021,Alexandria Valentino,1900 Chapman Ave  Apt 232  Rockville  Maryland 20852,Individual,1176,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Reimbursement - see below
9/27/2021,Colin Buckeridge,2418 Merritt Dr  Apt 303  Jessup  Maryland 20794,Individual,15,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Reimbursement - battery
9/27/2021,Adrienne Chrisitan,13105 Lenfant Dr  Fort Washington  Maryland 20744,Individual,64,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Reimbursement - tent
9/27/2021,Robert M Dorfman,105 Esworthy Pl  North Potomac  Maryland 20878,Individual,159,Blair  David for Montgomery,Other Expenses,Meeting Expenses,,Check,,Electoral,Reimbursement - lunch meetings
9/27/2021,Nadia Hassan,3 Pinecrest Ct  Greenbelt  Maryland 20770,Individual,51,Blair  David for Montgomery,Other Expenses,Meeting Expenses,,Check,,Electoral,Reimbursement - see below
9/27/2021,Nahom Tekle,6408 47th Ave  Riverdale  Maryland 20737,Individual,28,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Reimbursement - see below
9/28/2021,Maverick Strategies,1426 N 3rd St  Ste 310  Harrisburg  Pennsylvania 17102,Business/Group/Organization,1,Blair  David for Montgomery,Salaries and Other compensation,Consulting Fees - General,,EFT,,Electoral,
9/28/2021,11751 Rockville,11751 Rockville Pike  North Bethesda  Maryland 20852,Business/Group/Organization,120,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,ATM Withdrawel
9/28/2021,Maverick Strategies,1426 N 3rd St  Ste 310  Harrisburg  Pennsylvania 17102,Business/Group/Organization,2385,Blair  David for Montgomery,Salaries and Other compensation,Consulting Fees - General,,Check,,Electoral,Strategic Consulting Services
9/28/2021,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,3,Blair  David for Montgomery,Other Expenses,Bank Charges,,Check,,Electoral,Bank Fees
9/28/2021,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,3,Blair  David for Montgomery,Other Expenses,Bank Charges,,Check,,Electoral,Bank Fees
9/28/2021,Home Depot,12087 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,131,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/29/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,10,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/29/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,143,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/29/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,439,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/30/2021,Young Leader's Institute,3 Pinecrest Ct  Greenbelt  Maryland 20770,Business/Group/Organization,4500,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,Check,,Electoral,
9/30/2021,11751 Rockville,11751 Rockville Pike  North Bethesda  Maryland 20852,Business/Group/Organization,23,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Made in Moco - supplies
9/30/2021,Lowe's,40 Market St  Gaithersburg  Maryland 20878,Business/Group/Organization,21,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/30/2021,Nation Capital Moving,8508 Anniversary Cir  Gaithersburg  Maryland 20877,Business/Group/Organization,3500,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Moving Expense
9/30/2021,Staples,500 STAPLES DR  FRAMINGHAM  Massachusetts 01702,Business/Group/Organization,84,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
